band,start,end
http://dbpedia.org/resource/Short_Stack,"2005","2012"
http://dbpedia.org/resource/Glifted,"2001","2008"
http://dbpedia.org/resource/Harold_Melvin_&_the_Blue_Notes,"1954","1954"
http://dbpedia.org/resource/Abscess_(band),"1994","2010"
http://dbpedia.org/resource/Nightnoise,"1984","1997"
http://dbpedia.org/resource/Jump5,"1999","2007"
http://dbpedia.org/resource/Bomfunk_MC's,"1998","2005"
http://dbpedia.org/resource/The_Fresh_&_Onlys,"2008","2008"
http://dbpedia.org/resource/Carnifex_(band),"2005","2012"
http://dbpedia.org/resource/King_Kobra,"1983","1989"
http://dbpedia.org/resource/The_U-Men,"1981","1989"
http://dbpedia.org/resource/Furslide,"1997","1999"
http://dbpedia.org/resource/Jewelry_(band),"2001","2015"
http://dbpedia.org/resource/Laughing_Hyenas,"1985","1995"
http://dbpedia.org/resource/Attack_Attack!,"2007","2007"
http://dbpedia.org/resource/Coma_(band),"1998","1998"
http://dbpedia.org/resource/Leño,"1978","1983"
http://dbpedia.org/resource/Radical_Face,"2000","2000"
http://dbpedia.org/resource/Mis-Teeq,"1999","2005"
http://dbpedia.org/resource/Jawbreaker_(band),"1986","1996"
http://dbpedia.org/resource/Serú_Girán,"1978","1982"
http://dbpedia.org/resource/A_Life_Once_Lost,"1999","2013"
http://dbpedia.org/resource/Cartel_(band),"2003","2003"
http://dbpedia.org/resource/Neocolours,"1988","1988"
http://dbpedia.org/resource/Full_Tilt_Boogie_Band,"1969","1970"
http://dbpedia.org/resource/SETI_(band),"1993","1996"
http://dbpedia.org/resource/Died_Pretty,"1983","2002"
http://dbpedia.org/resource/Cruachan_(band),"1992","1997"
http://dbpedia.org/resource/Grotus,"1989","1996"
http://dbpedia.org/resource/The_Hot_Monkey,"1985","1985"
http://dbpedia.org/resource/Leaders_of_the_New_School,"1989","1994"
http://dbpedia.org/resource/Leathermouth,"2007","2010"
http://dbpedia.org/resource/Bad_English,"1987","1991"
http://dbpedia.org/resource/Boysetsfire,"1994","2007"
http://dbpedia.org/resource/Family_(band),"1966","1973"
http://dbpedia.org/resource/Operation_Ivy_(band),"1987","1989"
http://dbpedia.org/resource/Tin_Foil_Phoenix,"1997","1997"
http://dbpedia.org/resource/Skids_(band),"1977","1982"
http://dbpedia.org/resource/Jason_&_the_Scorchers,"1981","2007"
http://dbpedia.org/resource/Self_(band),"1993","1993"
http://dbpedia.org/resource/Perfect_World_(band),"2003","2003"
http://dbpedia.org/resource/Spice_Girls,"1994","2000"
http://dbpedia.org/resource/Dr._Acula_(band),"2005","2005"
http://dbpedia.org/resource/Cud_(band),"1987","1987"
http://dbpedia.org/resource/A_Touch_of_Class_(band),"1998","2003"
http://dbpedia.org/resource/A_Global_Threat,"1997","2007"
http://dbpedia.org/resource/Luna_(1990s_American_band),"1991","2005"
http://dbpedia.org/resource/The_Stalin,"1980","1985"
http://dbpedia.org/resource/Guv'ner,"1993","1999"
http://dbpedia.org/resource/Red_Riders,"2003","2003"
http://dbpedia.org/resource/Velocity_Girl,"1989","1996"
http://dbpedia.org/resource/Kodo_(taiko_group),"1981","1981"
http://dbpedia.org/resource/Five.Bolt.Main,"2004","2007"
http://dbpedia.org/resource/ThaMuseMeant,"1993","1993"
http://dbpedia.org/resource/The_Chills,"1980","1983"
http://dbpedia.org/resource/Thin_White_Rope,"1984","1992"
http://dbpedia.org/resource/Britny_Fox,"1985","1992"
http://dbpedia.org/resource/Whiplash_(band),"1984","1990"
http://dbpedia.org/resource/Canterbury_Effect,"1998","1998"
http://dbpedia.org/resource/Eraserheads,"1989","2002"
http://dbpedia.org/resource/Rotary_Connection,"1966","1966"
http://dbpedia.org/resource/Ellison_(band),"2003","2003"
http://dbpedia.org/resource/PlatEAU_(band),"1996","2003"
http://dbpedia.org/resource/Blind_Faith,"1969","1969"
http://dbpedia.org/resource/Mourning_Widows,"1997","2001"
http://dbpedia.org/resource/Hrsta,"2001","2001"
http://dbpedia.org/resource/Amfibian,"1999","2001"
http://dbpedia.org/resource/Pearls_Before_Swine_(band),"1965","1974"
http://dbpedia.org/resource/The_Crown_(band),"1990","2004"
