album_id,year_id
410,1
411,21
412,1
413,3
414,21
415,16
416,3
417,16
415,16
419,3
420,21
421,16
422,36
425,1
427,1
428,21
429,15
430,4
431,12
432,9
433,5
434,8
435,15
436,4
437,18
438,21
439,15
440,13
436,4
441,9
442,23
443,9
444,13
445,9
446,3
447,15
446,0
446,0
448,13
446,3
448,13
446,12
446,12
449,1
450,4
452,24
453,33
454,26
455,28
456,29
457,27
458,3
459,6
460,16
461,12
462,5
463,17
464,21
465,21
466,16
467,21
468,22
469,5
469,5
470,9
471,1
472,24
473,10
474,19
475,16
476,16
477,12
478,21
478,12
479,21
478,21
480,12
481,3
482,21
483,18
484,32
485,9
486,15
487,0
489,3
490,2
491,12
492,22
493,1
494,7
495,4
496,6
498,2
499,15
500,21
501,21
502,23
503,22
503,22
504,7
505,11
506,37
507,34
509,3
509,3
510,38
511,38
512,18
513,4
514,18
515,17
516,5
518,5
519,3
520,21
521,0
522,10
523,23
524,5
525,9
526,5
527,19
528,23
529,12
530,9
531,24
532,7
533,4
534,3
535,30
536,7
537,9
538,23
539,9
540,16
538,23
542,21
543,32
544,12
537,18
545,8
539,9
546,7
547,32
548,10
549,32
550,11
551,18
552,7
553,7
551,7
554,11
545,8
542,21
555,32
556,22
557,4
557,4
558,21
559,23
560,1
561,10
562,18
563,3
564,4
565,7
566,2
567,2
568,1
569,15
570,7
571,18
572,15
573,12
576,3
581,16
576,3
583,12
584,16
585,21
586,15
587,12
588,0
589,18
590,3
591,3
592,12
593,12
594,3
595,13
596,21
597,1
598,12
599,16
598,12
598,12
600,0
601,12
605,21
606,5
607,1
608,5
609,15
610,1
611,21
612,3
613,16
614,0
616,6
617,21
618,5
619,17
619,22
620,24
621,32
622,10
623,12
623,21
623,21
624,6
625,3
623,12
626,2
627,3
628,21
630,2
631,0
632,9
633,18
634,5
636,16
637,12
639,1
640,3
641,11
642,15
643,0
644,4
645,24
646,2
648,9
649,8
650,0
651,7
650,0
652,23
653,0
654,4
656,18
657,6
658,24
659,11
660,8
661,19
662,21
663,19
664,12
665,7
666,6
668,0
669,17
670,1
668,4
671,15
672,5
673,12
674,18
675,15
676,0
677,4
676,15
678,5
679,2
680,29
681,10
682,11
683,15
684,1
685,18
683,0
686,12
687,1
688,0
689,5
690,15
691,2
692,16
693,8
694,6
695,3
696,19
697,4
698,29
700,33
701,32
702,24
703,16
704,2
705,7
706,3
707,21
708,15
709,6
704,2
711,13
712,1
705,1
713,35
714,10
715,23
716,0
717,7
718,2
719,10
720,12
721,0
722,17
723,21
724,21
721,0
725,6
726,28
727,23
728,17
729,12
730,5
731,16
730,3
732,33
733,28
734,5
735,14
737,5
738,0
739,17
740,13
741,1
742,22
743,12
744,16
745,21
746,15
748,19
749,0
750,24
751,4
752,16
753,18
754,9
755,9
756,35
757,39
758,31
759,6
760,6
759,6
761,29
762,14
763,3
764,29
765,18
766,15
767,11
768,32
769,4
770,9
771,23
772,2
773,24
774,19
775,26
776,3
777,6
778,15
779,16
780,2
781,9
779,16
779,16
776,3
779,16
782,7
783,21
782,7
784,7
785,16
780,2
786,24
787,17
788,6
790,34
791,18
791,9
792,4
793,12
794,13
796,9
797,1
798,19
798,19
798,19
798,19
798,19
800,19
796,9
796,9
801,24
796,9
802,6
803,1
804,12
805,0
806,12
806,12
807,17
808,40
809,41
810,25
811,4
812,42
813,2
814,43
815,7
816,44
817,45
818,18
819,36
820,46
821,2
822,19
823,15
824,4
825,1
826,7
827,18
829,4
830,2
832,18
833,4
834,4
835,0
836,19
837,18
838,32
839,7
840,2
841,23
842,11
843,28
844,10
845,7
846,8
847,0
848,7
849,15
850,0
851,5
852,13
853,4
854,3
855,4
856,3
857,21
858,2
854,3
859,12
860,0
851,5
861,4
862,14
863,33
864,27
865,47
866,33
867,29
868,32
869,15
870,10
869,2
871,5
872,14
873,30
874,0
875,44
876,23
872,14
877,28
871,5
878,5
879,0
880,19
880,23
881,8
881,9
882,18
883,4
884,0
885,15
886,9
887,6
888,13
889,33
890,14
891,4
892,26
893,21
894,8
895,22
896,2
897,0
898,24
893,21
895,22
899,19
900,28
901,11
896,2
902,23
903,18
904,2
905,0
906,3
907,16
908,1
909,17
910,3
911,12
912,24
913,23
914,21
915,7
916,7
916,4
916,7
916,4
917,14
917,14
918,0
919,24
920,3
921,10
922,0
922,0
923,7
924,3
925,5
927,8
928,0
929,3
930,6
931,19
932,2
933,17
934,2
935,4
936,11
937,8
938,9
939,15
940,7
941,24
942,18
943,15
943,15
944,1
944,1
945,9
946,2
947,21
948,8
949,4
950,7
951,7
952,1
953,2
954,9
955,47
956,26
957,33
958,5
959,18
960,17
962,4
963,4
964,15
965,32
965,38
966,2
967,5
968,1
969,15
970,4
971,0
972,6
973,5
974,23
975,19
975,24
978,18
980,48
981,17
982,22
984,8
986,39
987,25
986,39
982,22
988,38
989,39
990,20
991,39
992,49
993,20
994,31
995,48
996,42
997,0
998,48
999,50
981,17
1000,48
1001,51
996,42
982,22
1002,31
1003,41
1004,31
1005,39
1006,31
1007,20
1008,48
1009,39
1010,38
1011,51
1012,11
1013,23
1014,48
1015,38
1016,38
991,39
1017,48
996,42
1018,16
1010,38
1020,49
1021,51
981,9
1022,31
1023,10
1024,20
1025,39
1026,39
1027,52
1002,23
1003,41
999,37
1028,23
1029,51
1002,31
993,31
1010,38
999,50
1030,39
1031,51
1032,48
1027,52
1033,31
1034,51
1002,23
1035,53
981,17
1036,51
1037,20
1004,31
1038,48
1039,0
1040,39
1041,39
1042,50
1043,50
1044,48
1045,50
1046,49
1047,20
1048,48
1049,16
981,17
1050,25
1051,20
1052,38
1053,38
1054,39
1055,31
1010,38
1056,49
1057,49
1058,38
1045,50
1059,50
981,9
1060,49
1061,42
1062,13
1063,50
1064,23
1065,20
1066,20
1028,34
993,31
1002,31
1050,53
1067,10
1068,39
1069,51
1070,39
981,9
1071,39
1072,20
1073,23
981,9
1075,39
1076,37
1077,5
1078,50
1002,31
1079,51
1080,31
1081,46
981,9
1080,31
1064,23
1083,51
1084,38
1085,48
1086,39
1088,48
1090,39
1091,48
1092,10
1078,50
1093,20
1094,48
981,9
1095,50
1096,39
1097,38
1098,48
1099,48
1101,20
996,42
1102,39
1103,20
981,17
1104,38
1027,11
1078,50
1028,23
1107,51
1002,31
1108,48
1109,39
1110,45
1111,48
1112,39
1113,45
1114,51
1050,25
1067,10
1115,50
993,20
1116,31
1117,48
1118,50
1011,51
1113,45
1119,51
1028,34
1120,49
1121,38
1122,50
1123,48
982,41
981,17
981,9
1002,31
1125,48
1126,48
1127,51
1128,51
1054,39
1129,38
1130,38
982,22
1053,38
1131,50
990,20
1132,23
1073,23
1107,51
1053,38
1049,16
1133,20
1134,50
1135,20
1136,48
1137,51
1138,11
981,17
1139,49
1140,20
1141,4
1027,11
1011,51
1142,39
1143,20
1144,23
1111,48
1080,31
1145,20
982,41
1061,42
1146,48
1147,51
1076,37
1148,51
1150,38
1151,20
1002,23
1152,49
981,9
1077,5
981,17
1153,20
1154,51
981,17
981,9
1155,41
1156,49
1111,48
1155,41
1063,37
1157,51
1158,51
981,17
1159,49
1160,49
981,9
1161,49
1053,38
1162,39
1067,10
1163,26
1134,50
1131,37
1065,20
1080,31
1164,51
1165,49
981,17
1012,11
981,17
1166,31
1088,48
1167,51
1168,39
1169,48
1170,39
1171,39
1172,48
1110,45
1161,49
1173,20
1174,51
1007,20
1175,48
1150,38
997,0
1176,48
982,41
1040,39
1118,50
1177,23
1045,37
1178,51
1131,50
981,9
981,9
1179,13
1060,51
1180,39
1002,31
981,9
1181,31
1182,50
1183,42
1184,50
1111,48
981,9
1185,13
997,0
1083,51
1186,6
1187,39
1011,51
981,17
1188,20
1002,31
982,41
1063,50
1189,23
1190,51
1191,38
1002,31
1062,5
1192,2
1145,20
981,17
1193,38
1050,53
1194,50
1067,10
1195,49
1196,16
1197,39
1198,50
1107,51
1200,1
1201,21
1202,6
1203,22
1204,0
1205,8
1206,29
1207,5
1208,33
1209,17
1210,11
1211,16
1212,14
1213,2
1214,10
1215,19
1216,34
1217,7
1218,37
1219,45
1220,9
1217,7
1221,24
1222,10
1223,4
1224,18
1225,36
1226,43
1227,25
1228,47
1229,0
1230,21
1234,18
1235,18
1239,19
1240,8
1241,4
1242,9
1243,10
1245,8
1246,15
1247,3
1248,21
1249,17
1250,21
1251,16
1250,21
1252,19
1252,19
1253,18
1254,45
1255,50
1257,29
1260,37
1254,45
1252,19
1262,33
1263,20
1263,5
1264,18
1265,28
1266,41
1268,5
1269,50
1270,2
1271,15
1266,41
1266,41
1268,5
1272,54
1252,19
1273,33
1265,28
1266,41
1269,50
1255,50
1265,28
1265,28
1274,4
1275,15
1276,7
1277,15
1278,24
1279,8
1280,23
1281,6
1282,9
1283,3
1284,28
1285,12
1286,3
1287,47
1288,46
1289,25
1290,44
1290,44
1291,30
1292,33
1293,25
1294,40
1295,18
1285,12
1296,16
1297,24
1297,24
1298,23
1299,21
1300,33
1300,33
1301,29
1302,29
1300,33
1303,29
1304,11
1300,33
1305,32
1306,32
1307,18
1300,33
1300,33
1308,29
1309,9
1310,0
1311,33
1312,32
1313,23
1314,15
1315,6
1316,7
1317,24
1318,22
1319,14
1320,5
1321,11
1322,2
1323,19
1324,41
1325,29
1326,12
1327,21
1328,34
1329,22
1330,54
1331,23
1332,37
1333,26
1334,8
1335,32
1336,15
1337,29
1338,7
1339,11
1340,7
1341,26
1342,19
1343,24
1344,16
1345,42
1346,21
1347,32
1348,10
1349,0
1350,23
1351,2
1352,30
1353,14
1354,21
1355,28
1356,33
1357,9
1345,42
1358,16
1359,44
1360,1
1361,28
1362,5
1363,18
1361,10
1364,15
1365,24
1366,13
1367,23
1368,7
1368,7
1369,19
1370,10
1368,7
1372,1
1369,19
1373,8
1368,7
1374,4
1375,1
1376,30
1377,14
1375,3
1378,4
1379,28
1380,28
1381,23
1382,11
1383,8
1384,24
1385,1
1386,19
1387,4
1388,28
1389,6
1390,24
1392,18
1393,15
1394,2
1395,18
1396,28
1397,18
1398,22
1399,19
1400,28
1401,7
1402,21
1404,2
1405,21
1406,7
1407,6
1408,3
1409,0
1410,1
1411,8
1412,9
1413,13
1414,4
1415,47
1416,18
1417,26
1418,7
1419,28
1419,28
1420,30
1417,26
1421,33
1422,29
1423,46
1424,16
1425,2
1426,22
1427,9
1428,15
1429,0
1430,7
1431,5
1432,12
1433,6
1432,6
1432,6
1434,22
1435,13
1436,38
1437,40
1438,35
1440,39
1441,36
1442,34
1442,34
1443,46
1444,54
1445,50
1446,39
1447,26
1448,31
1450,43
1451,31
1452,47
1454,43
1455,39
1456,41
1457,35
1441,36
1459,39
1460,14
1461,51
