bands,artists,isActive,exitCount
259,591,0.0,1.0
259,2534,0.0,1.0
259,2642,0.0,1.0
260,851,1.0,0.0
260,6849,1.0,0.0
260,10529,1.0,0.0
260,11399,1.0,0.0
261,4632,1.0,0.0
263,9696,0.0,1.0
263,9803,0.0,1.0
264,8449,0.0,1.0
264,10076,0.0,1.0
265,79,1.0,0.0
265,3138,1.0,0.0
265,6963,1.0,0.0
265,9041,0.0,1.0
265,9714,1.0,0.0
266,708,0.0,1.0
267,1088,0.0,1.0
267,3477,0.0,1.0
267,3742,0.0,2.0
267,4500,0.0,1.0
267,7710,0.0,2.0
267,8908,0.0,1.0
268,3486,1.0,0.0
272,386,1.0,0.0
272,6278,1.0,0.0
272,6695,1.0,0.0
272,10393,0.0,1.0
272,11212,1.0,0.0
273,1589,0.0,1.0
273,3845,1.0,0.0
273,7257,1.0,0.0
274,956,1.0,0.0
274,1085,0.0,1.0
274,1948,1.0,0.0
274,2412,0.0,1.0
274,2786,0.0,1.0
274,2944,0.0,1.0
274,3178,0.0,1.0
274,6810,0.0,1.0
274,7393,0.0,1.0
274,7642,1.0,0.0
274,7685,0.0,1.0
274,8583,0.0,1.0
274,8820,0.0,1.0
274,10208,0.0,2.0
274,10241,0.0,1.0
274,10294,1.0,0.0
274,10860,1.0,0.0
274,11199,0.0,1.0
275,8051,1.0,0.0
275,10609,1.0,0.0
278,682,1.0,0.0
278,3726,1.0,0.0
278,6476,1.0,0.0
279,5664,0.0,1.0
279,10692,0.0,1.0
281,845,0.0,1.0
281,1479,1.0,0.0
281,10127,1.0,0.0
282,3049,1.0,0.0
282,4547,1.0,0.0
282,4691,0.0,1.0
282,10082,1.0,0.0
283,1119,1.0,0.0
283,1743,1.0,0.0
283,2226,1.0,0.0
283,4725,0.0,1.0
284,5629,1.0,0.0
284,6407,0.0,1.0
284,7401,0.0,1.0
285,7736,1.0,0.0
286,3353,0.0,1.0
286,4402,0.0,1.0
286,9699,0.0,1.0
287,5440,1.0,0.0
287,5744,1.0,0.0
288,6345,0.0,1.0
288,11392,0.0,1.0
290,1798,1.0,0.0
290,5369,1.0,0.0
290,10831,0.0,1.0
292,99,0.0,1.0
292,6509,0.0,1.0
292,8969,1.0,0.0
294,2507,0.0,1.0
296,1954,0.0,1.0
297,489,0.0,1.0
297,1849,0.0,1.0
297,3670,0.0,1.0
297,4720,0.0,1.0
297,6513,0.0,1.0
299,3527,1.0,0.0
302,1588,1.0,0.0
303,1756,0.0,1.0
303,3929,1.0,0.0
304,10711,1.0,0.0
305,6506,0.0,1.0
305,7532,0.0,1.0
305,8383,0.0,1.0
305,9021,1.0,0.0
305,10310,0.0,1.0
307,6732,1.0,0.0
309,5085,0.0,1.0
309,9004,0.0,1.0
312,2043,1.0,0.0
312,2756,0.0,1.0
312,3119,0.0,1.0
312,7729,1.0,0.0
312,7831,0.0,1.0
312,8076,0.0,1.0
312,8562,0.0,1.0
312,8701,0.0,1.0
312,8894,0.0,1.0
312,10062,1.0,0.0
312,10318,0.0,1.0
314,7265,1.0,0.0
315,5630,1.0,0.0
318,5075,1.0,0.0
319,2985,0.0,1.0
320,5667,0.0,1.0
323,10507,1.0,0.0
324,8851,1.0,0.0
325,589,0.0,1.0
325,3492,0.0,1.0
325,8739,0.0,1.0
325,9393,1.0,0.0
326,905,0.0,1.0
326,3763,0.0,1.0
326,6594,0.0,1.0
326,10542,0.0,1.0
327,791,0.0,1.0
327,3706,0.0,1.0
327,4813,1.0,0.0
327,9705,1.0,0.0
327,9748,0.0,1.0
327,10327,1.0,0.0
329,1842,1.0,0.0
329,2354,1.0,0.0
330,1023,1.0,0.0
330,1296,1.0,0.0
330,5529,1.0,0.0
330,7857,1.0,0.0
330,11102,1.0,0.0
331,7511,1.0,0.0
333,1256,1.0,0.0
333,2212,1.0,0.0
333,5626,0.0,1.0
333,9519,0.0,1.0
333,10068,0.0,1.0
334,1,0.0,1.0
334,2,0.0,1.0
334,3,0.0,1.0
334,4,0.0,1.0
334,5,0.0,1.0
334,6,0.0,1.0
334,7,0.0,1.0
334,8,0.0,1.0
335,8913,0.0,1.0
336,9870,1.0,0.0
336,10712,1.0,0.0
337,7222,1.0,0.0
337,11055,1.0,0.0
339,1547,1.0,0.0
339,2477,1.0,0.0
339,5533,0.0,1.0
339,5557,1.0,0.0
339,6024,0.0,1.0
339,6833,0.0,1.0
339,7534,1.0,0.0
339,8439,1.0,0.0
340,2405,1.0,0.0
340,8415,1.0,0.0
340,9434,1.0,0.0
341,2937,0.0,1.0
341,5351,0.0,1.0
342,10853,0.0,1.0
343,750,1.0,0.0
343,754,1.0,0.0
343,11474,1.0,0.0
346,98,0.0,1.0
346,4666,0.0,1.0
347,6179,0.0,1.0
347,6425,0.0,1.0
347,8279,0.0,2.0
347,9786,0.0,1.0
348,5004,0.0,1.0
348,5275,0.0,1.0
349,743,0.0,1.0
349,1480,0.0,1.0
350,8748,1.0,0.0
351,883,1.0,0.0
354,3510,1.0,0.0
354,5566,0.0,1.0
355,9405,1.0,0.0
357,862,1.0,0.0
357,4246,1.0,0.0
360,1063,1.0,0.0
360,2243,1.0,0.0
360,3067,1.0,0.0
360,6100,0.0,2.0
360,8454,1.0,0.0
360,10910,1.0,0.0
361,10774,0.0,1.0
362,9861,1.0,0.0
364,1064,0.0,1.0
365,1681,1.0,0.0
365,8223,1.0,0.0
365,8485,1.0,0.0
368,417,1.0,0.0
368,5248,1.0,0.0
372,27,0.0,1.0
372,8970,1.0,0.0
373,5487,0.0,1.0
373,8997,0.0,1.0
374,9664,1.0,0.0
374,10516,1.0,0.0
378,108,0.0,1.0
378,2736,0.0,1.0
378,6797,0.0,1.0
379,7032,1.0,0.0
379,8294,1.0,0.0
379,10984,1.0,0.0
380,6362,0.0,1.0
383,1451,0.0,1.0
384,3477,0.0,1.0
384,4500,0.0,1.0
385,2760,0.0,1.0
385,5494,0.0,1.0
385,5643,0.0,1.0
385,7932,0.0,1.0
385,9108,0.0,1.0
388,4978,1.0,0.0
388,5005,0.0,1.0
388,5259,0.0,2.0
388,5499,0.0,2.0
388,5501,0.0,1.0
388,8977,0.0,1.0
388,9181,1.0,0.0
388,9296,1.0,0.0
388,10947,0.0,1.0
389,2508,0.0,1.0
389,4932,0.0,1.0
389,7195,0.0,1.0
389,10697,0.0,1.0
390,3960,1.0,0.0
390,7266,1.0,0.0
391,3008,1.0,0.0
391,4895,1.0,0.0
391,11124,1.0,0.0
392,1601,0.0,1.0
392,2632,0.0,1.0
392,6600,0.0,1.0
392,6818,1.0,0.0
392,7304,1.0,0.0
392,9433,0.0,1.0
392,10959,0.0,1.0
392,11542,1.0,0.0
394,1909,1.0,0.0
395,9025,0.0,1.0
395,9485,0.0,1.0
395,10367,0.0,1.0
395,10859,0.0,1.0
396,4679,1.0,0.0
397,7220,1.0,0.0
397,7641,0.0,1.0
399,4601,0.0,1.0
401,6018,1.0,0.0
403,3223,1.0,0.0
403,3744,1.0,0.0
403,7335,1.0,0.0
403,7344,0.0,1.0
403,11208,0.0,1.0
408,2984,1.0,0.0
408,5907,1.0,0.0
408,11121,1.0,0.0
409,2416,1.0,0.0
409,5435,1.0,0.0
412,3573,0.0,1.0
413,1358,0.0,1.0
413,2742,0.0,1.0
413,5831,0.0,1.0
414,2234,1.0,0.0
414,8310,1.0,0.0
415,7507,0.0,1.0
415,10508,0.0,1.0
418,1212,0.0,1.0
419,5035,0.0,1.0
419,9658,0.0,1.0
422,1869,0.0,1.0
425,2631,0.0,1.0
425,4585,0.0,1.0
425,5831,0.0,1.0
425,7079,0.0,1.0
425,8592,0.0,1.0
425,10583,0.0,1.0
427,3471,0.0,1.0
428,2729,0.0,1.0
428,3892,0.0,1.0
428,5530,1.0,0.0
428,7473,0.0,1.0
428,10962,0.0,1.0
431,6339,1.0,0.0
431,9461,0.0,2.0
431,9988,1.0,0.0
431,11411,0.0,1.0
433,1675,0.0,1.0
434,287,1.0,0.0
434,3986,1.0,0.0
434,5056,0.0,1.0
437,1431,1.0,0.0
437,3204,1.0,0.0
437,6845,1.0,0.0
437,8834,1.0,0.0
438,1272,1.0,0.0
438,4834,1.0,0.0
439,1646,0.0,1.0
439,7739,0.0,1.0
439,7755,0.0,1.0
439,8711,0.0,1.0
442,1471,1.0,0.0
442,8715,1.0,0.0
443,3256,0.0,1.0
443,3776,0.0,1.0
443,8977,0.0,1.0
443,10318,0.0,1.0
444,240,1.0,0.0
444,391,0.0,1.0
444,653,0.0,1.0
444,1217,1.0,0.0
444,3362,0.0,1.0
444,10383,1.0,0.0
445,10901,1.0,0.0
446,7644,0.0,1.0
446,8148,0.0,1.0
447,4044,1.0,0.0
447,7654,1.0,0.0
448,877,0.0,1.0
448,9711,0.0,2.0
448,10865,0.0,1.0
449,10877,0.0,1.0
450,10895,0.0,1.0
451,6368,1.0,0.0
451,7054,1.0,0.0
451,8166,1.0,0.0
452,179,1.0,0.0
452,199,1.0,0.0
452,9598,1.0,0.0
453,4928,1.0,0.0
456,5696,1.0,0.0
458,10432,1.0,0.0
459,1370,0.0,1.0
459,5298,0.0,1.0
459,5749,0.0,1.0
459,9737,0.0,1.0
459,11280,0.0,1.0
460,158,0.0,1.0
460,180,0.0,1.0
460,952,0.0,1.0
460,1703,1.0,0.0
460,3089,0.0,1.0
460,3424,0.0,1.0
460,3473,1.0,0.0
460,3659,0.0,1.0
460,4501,0.0,2.0
460,4741,1.0,0.0
460,5161,0.0,1.0
460,6471,1.0,0.0
460,10090,1.0,0.0
460,10208,0.0,2.0
463,8451,1.0,0.0
463,11112,1.0,0.0
465,3713,0.0,1.0
465,5386,0.0,1.0
465,8414,0.0,2.0
465,9128,0.0,1.0
466,825,1.0,0.0
466,987,1.0,0.0
466,7158,0.0,1.0
466,9790,0.0,1.0
466,11133,1.0,0.0
467,2731,1.0,0.0
467,3794,1.0,0.0
467,10811,1.0,0.0
468,1423,1.0,0.0
468,3249,1.0,0.0
468,5931,1.0,0.0
468,9058,1.0,0.0
469,10,1.0,0.0
469,2225,1.0,0.0
469,4552,1.0,0.0
469,7836,1.0,0.0
469,8130,1.0,0.0
469,9473,1.0,0.0
470,4942,1.0,0.0
471,396,1.0,0.0
471,573,1.0,0.0
473,10636,1.0,0.0
474,206,0.0,1.0
474,794,0.0,1.0
474,1078,0.0,1.0
474,2052,0.0,1.0
474,2785,0.0,1.0
474,7286,0.0,1.0
474,9248,0.0,1.0
474,11226,0.0,1.0
475,4613,1.0,0.0
476,2224,0.0,1.0
476,2589,0.0,1.0
476,4160,0.0,1.0
476,4342,0.0,1.0
476,4476,0.0,1.0
476,6772,0.0,1.0
476,7432,0.0,1.0
476,8927,0.0,1.0
476,9408,0.0,1.0
477,534,1.0,0.0
477,6769,1.0,0.0
477,7060,1.0,0.0
477,8075,0.0,1.0
477,8391,1.0,0.0
477,10374,0.0,1.0
478,489,1.0,0.0
478,6919,1.0,0.0
479,3829,1.0,0.0
479,9139,1.0,0.0
480,45,0.0,1.0
480,1392,1.0,0.0
480,6923,1.0,0.0
480,7464,1.0,0.0
481,1203,0.0,1.0
481,1309,0.0,1.0
481,3940,0.0,1.0
481,4184,1.0,0.0
